Name,Description,Category,Neighbourhood,Google Maps URL
East Side Gallery 🖼️,Een groot stuk Berlijnse Muur veranderd in een street art gallerij.,1. Bezienswaardigheden 👀,Friedrichshain,https://maps.app.goo.gl/YujdXGY2gHD2vzSN6
Sachsenhausen Concentration Camp Memorial 🛤️,"Net buiten Berlijn, ongeveer 9 jaar in gebruik geweest, vnl. voor politieke gevangenen.",1. Bezienswaardigheden 👀,Oranienburg,https://maps.app.goo.gl/VFfBHTraoAmBtcuE8
Stasi Museum 💼,Indrukwekkende inkijk in spionage op burgers tijdens de DDR in het voormalig Stasi-hoofdkwartier in Oost-Berlijn.,1. Bezienswaardigheden 👀,Lichtenberg,https://maps.app.goo.gl/1HnCTNBGPcZcKWNC7
Mauerpark 🎸,Op zondag is er een grote tweede-hands markt en veranderd het park zeker bij mooi weer in een spontaan festival.,1. Bezienswaardigheden 👀,Prenzlauer Berg,https://maps.app.goo.gl/KrxB13qa1THDnbsQA
Berliner Dom ⛪,De grote protestante 'kathedraal' op de Museuminsel in hartje Berlijn.,1. Bezienswaardigheden 👀,Mitte,https://maps.app.goo.gl/dW7fWJ65uWdoEhuC9
Slot Charlottenburg 🪞,Oud slot van de Pruissische vorsten met een groot park.,1. Bezienswaardigheden 👀,Charlottenburg,https://maps.app.goo.gl/mKJ9FxUaw2dMTfLw7
Tempelhofer Feld 🛬,Een verlaten vliegveld midden in de stad. Drankje meenemen en lekker over de landingsbanen wandelen.,1. Bezienswaardigheden 👀,Tempelhof,https://maps.app.goo.gl/2Wsdy6j62BXCoHYN7
Konnopke’s Imbiss 🌭,"Een legendarische Oost-Berlijnse ""imbiss"", vooral bekend om z'n currywurst.",2. Street Food 🥙,Prenzlauer Berg,https://maps.app.goo.gl/bKW9zVrzb5jkdziG9
Markthalle Neun 🫒,"Markthal met veel eetopties, met elke donderdagavond Street Food Thursdays.",2. Street Food 🥙,Kreuzberg,https://maps.app.goo.gl/JgCm2aJcbwGkdjhJ6
Curry 36 🌭,"Hier staan locals 's avonds vaak schouder aan schouder een currywurst weg te werken met een biertje erbij. Licht chaotisch, maar typisch Berlijn. In de buurt ook veel bars.",2. Street Food 🥙,Kreuzberg,https://maps.app.goo.gl/rZHrYfRWr28pNPYT9
Burgermeister 🍔,Een cult-burger spot in een voormalig openbaar toilet. Eet smakelijk!,2. Street Food 🥙,Kreuzberg,https://maps.app.goo.gl/FbDLyye52R2eXNCM7
Bergmannstraße 🍲,"Veel opties, bijvoorbeeld Vietnamees of Oostenrijks. Vlakbij het oude Tempelhofer Feld vliegveld.",3. Eten 🍲,Kreuzberg,https://maps.app.goo.gl/dFju5CfvvUUuMmuP6
Fleischerei Domke 🍖,"Echt Berlijns eten, maar niet bepaald vega-vriendelijk.",3. Eten 🍲,Friedrichshain,https://maps.app.goo.gl/KvU7zdqoGBHtxHEf7
Joseph-Roth-Diele 🍽️,"Een klassieke eterij, met vooral veel zuid-Duitse opties. Vlakbij de tourstartlokatie. Bel even om te kijken of ze plek hebben.",3. Eten 🍲,Tiergarten,https://maps.app.goo.gl/KAWuxWeRCkutCUQ17
Kantstraße 🍛,"Veel authentisch Aziatische restaurants, van Chinees, Taiwanees, Japans tot Vietnamees en meer.",3. Eten 🍲,Charlottenburg,https://maps.app.goo.gl/odYBsUHXtxmQxo5k8
Kastanienallee 🥘,Veel etensopties.,3. Eten 🍲,Mitte / Prenzlauer Berg,https://maps.app.goo.gl/Mudgyu1DsiNBD2UU9
Max und Moritz 🥔,Duitse keuken in hartje Kreuzberg,3. Eten 🍲,Kreuzberg,https://maps.app.goo.gl/zeNLUNbNd9ghTXot9
Simon-Dach-Straße 🍻,Leuke plek met heel veel opties voor eten of een drankje.,3. Eten 🍲,Friedrichshain,https://maps.app.goo.gl/zbiiT5ftpeWbvbWf6
Vietnamees 🍜,Door de hele stad kun je goede restaurants vinden van de Noord- en Zuid-Vietnamese diaspora die in respectievelijk Oost- en West-Berlijn zijn komen wonen.,3. Eten 🍲,Overal!,
Clärchens Ballhaus,"Herleef de wilde jaren 20 van Berlijn in dit oude balhuis met goed eten, cocktails, wijn en bier.",3. Eten 🍲,Mitte,https://maps.app.goo.gl/oakH5aiNEcjGjBFZA
Bürknerstraße 👖,Vintage,4. Shoppen 🛍️,Neukölln,https://maps.app.goo.gl/8hYR2m3gc7R4oYhN8
Kastanianallee 👚,,4. Shoppen 🛍️,Mitte / Prenzlauer Berg,https://maps.app.goo.gl/Mudgyu1DsiNBD2UU9
Rio-Reiser-Platz 🏬,"In de buurt: veel winkels, café's, bars, restaurants",4. Shoppen 🛍️,Kreuzberg,https://maps.app.goo.gl/WPuQjxPSx8LUEY7s7
Weinmeisterstraße 👜,,4. Shoppen 🛍️,Mitte,https://maps.app.goo.gl/TpgZfBcY6madPKjh6
Weserstraße 👕,Vintage,4. Shoppen 🛍️,Neukölln,https://maps.app.goo.gl/8hYR2m3gc7R4oYhN8
RAW-Gelände 🪩,Verschillende clubs en bars op een oude spoorwegwerkplaats.,5. ‘s Avonds 🍷,Friedrichshain,https://maps.app.goo.gl/Jm6B8Vu7USM6Qgjm9
Weserstraße 🍸,Dé uitgaansstraat van hip Neukölln met veel cocktailbars en andere leuke tentjes.,5. ‘s Avonds 🍷,Neukölln,https://maps.app.goo.gl/8hYR2m3gc7R4oYhN8
Winterfeldtplatz 🍹,Café's en bars voornamelijk populair bij locals en studenten met in de Motzstraße veel tenten die zich op de grote homo-gemeenschap richten.,5. ‘s Avonds 🍷,Schöneberg,https://maps.app.goo.gl/YA3DwxXA7r9t4ZoU8
Teufelsberg 🕵️,"Een oud Amerikaans-Brits spionagestation in het bos aan de rand van de stad, met geweldig uitzicht.",6. Aanraders 🌟,Grunewald,https://maps.app.goo.gl/6sCkudQGwcah3kYy6
Holzmarkt 🥂,"Hip cultureel centrum aan de Spree met eten, drinken en muziek.",6. Aanraders 🌟,Friedrichshain,https://maps.app.goo.gl/R2CvwNjtssz2djQ37
Klunkerkranich 🏙️,Rooftopbar op een parkeerdek van een winkelcentrum. Uitzicht over de stad.,6. Aanraders 🌟,Neukölln,https://maps.app.goo.gl/3ucdKHHq1a28Xiay6
Zonsondergang bij Bode Museum 🌇,Aan de levendige kade van Monbijoupark.,6. Aanraders 🌟,Mitte,https://maps.app.goo.gl/twPgNySvN8YEd2cH8
Zonsondergang in Viktoriapark 🌆,Mooi groen park met een waterval.,6. Aanraders 🌟,Kreuzberg,https://maps.app.goo.gl/heqccGiXEqHGSkVCA
